fen,cp
8/6p1/p3k2p/P7/8/7r/8/2K5 b - - 1 46,748
8/5kp1/p6p/P7/8/7r/8/2K5 w - - 2 47,-739
8/5kp1/p6p/P7/8/7r/8/1K6 b - - 3 47,760
6k1/6p1/p6p/P7/8/7r/8/1K6 w - - 4 48,-705
6k1/6p1/p6p/P7/8/7r/8/K7 b - - 5 48,741
6k1/6p1/p6p/P7/8/r7/8/1K6 b - - 7 49,742
6k1/6p1/p6p/r7/8/8/8/1K6 w - - 0 50,-651
6k1/6p1/p6p/r7/8/8/1K6/8 b - - 1 50,663
6k1/6p1/p6p/3r4/8/8/1K6/8 w - - 2 51,-803
6k1/6p1/p6p/3r4/8/8/8/K7 b - - 3 51,868
6k1/6p1/7p/p2r4/8/8/8/K7 w - - 0 52,-729
6k1/6p1/7p/p2r4/8/8/8/1K6 b - - 1 52,718
6k1/6p1/7p/3r4/p7/8/8/1K6 w - - 0 53,-730
6k1/6p1/7p/3r4/p7/8/K7/8 b - - 1 53,679
6k1/6p1/7p/1r6/p7/8/K7/8 w - - 2 54,-744
6k1/6p1/7p/1r6/p7/8/8/K7 b - - 3 54,818
6k1/6p1/7p/1r6/8/p7/8/K7 w - - 0 55,-827
6k1/6p1/7p/1r6/8/p7/K7/8 b - - 1 55,874
6k1/6p1/7p/r7/8/p7/K7/8 w - - 2 56,-757
6k1/6p1/7p/r7/8/p7/8/1K6 b - - 3 56,815
6k1/6p1/7p/3r4/8/p7/8/1K6 w - - 4 57,-898
6k1/6p1/7p/3r4/8/p7/K7/8 b - - 5 57,827
6k1/6p1/7p/8/8/p2r4/K7/8 w - - 6 58,-779
6k1/6p1/7p/8/8/p2r4/8/1K6 b - - 7 58,898
6k1/6p1/7p/8/8/p7/3r4/1K6 w - - 8 59,-894
6k1/6p1/7p/8/8/p7/3r4/K7 b - - 9 59,895
6k1/6p1/3r3p/8/8/p7/8/K7 w - - 10 60,-757
6k1/6p1/3r3p/8/8/p7/8/1K6 b - - 11 60,894
6k1/6p1/r6p/8/8/p7/8/1K6 w - - 12 61,-752
6k1/6p1/r6p/8/8/p7/K7/8 b - - 13 61,793
6k1/6p1/2r4p/8/8/p7/K7/8 w - - 14 62,-775
6k1/6p1/2r4p/8/8/K7/8/8 b - - 0 62,759
6k1/6p1/7p/8/8/K7/2r5/8 w - - 1 63,-674
6k1/6p1/7p/8/1K6/8/2r5/8 b - - 2 63,794
6k1/6p1/8/7p/1K6/8/2r5/8 w - - 0 64,-883
6k1/6p1/8/7p/8/K7/2r5/8 b - - 1 64,881
6k1/6p1/8/8/7p/K7/2r5/8 w - - 0 65,-900
6k1/6p1/8/8/7p/1K6/2r5/8 b - - 1 65,879
6k1/6p1/8/8/8/1K5p/2r5/8 w - - 0 66,-748
6k1/6p1/8/8/8/7p/2K5/8 b - - 0 66,736
6k1/6p1/8/8/8/8/2K4p/8 w - - 0 67,-718
6k1/6p1/8/8/8/8/7p/1K6 b - - 1 67,757
6k1/6p1/8/8/8/8/2K5/7q b - - 1 68,819
6k1/6p1/8/8/8/8/2K5/4q3 w - - 2 69,-741
6k1/6p1/8/8/8/8/1K6/4q3 b - - 3 69,777
6k1/6p1/8/8/8/8/1K6/3q4 w - - 4 70,-777
6k1/6p1/8/8/8/K7/8/3q4 b - - 5 70,795
6k1/6p1/8/8/8/K7/8/1q6 w - - 6 71,-852
6k1/6p1/8/8/K7/8/8/1q6 b - - 7 71,9991
6k1/6p1/1q6/8/K7/8/8/8 w - - 8 72,-9992
6k1/6p1/1q6/8/8/K7/8/8 b - - 9 72,9992
6k1/6p1/8/8/8/K7/5q2/8 w - - 10 73,-743
6k1/6p1/8/8/8/1K6/5q2/8 b - - 11 73,743
6k1/6p1/8/8/8/1K6/3q4/8 w - - 12 74,-761
