fen,cp
6k1/6p1/8/8/8/8/2K4p/8 w - - 0 67,-727
6k1/6p1/8/8/8/8/7p/1K6 b - - 1 67,739
6k1/6p1/8/8/8/8/2K5/7q b - - 1 68,765
6k1/6p1/8/8/8/8/2K5/4q3 w - - 2 69,-766
6k1/6p1/8/8/8/8/1K6/4q3 b - - 3 69,824
6k1/6p1/8/8/8/8/1K6/3q4 w - - 4 70,-725
6k1/6p1/8/8/8/K7/8/3q4 b - - 5 70,862
6k1/6p1/8/8/8/K7/8/1q6 w - - 6 71,-1288
6k1/6p1/8/8/K7/8/8/1q6 b - - 7 71,1202
6k1/6p1/1q6/8/K7/8/8/8 w - - 8 72,-1283
6k1/6p1/1q6/8/8/K7/8/8 b - - 9 72,9991
6k1/6p1/8/8/8/K7/5q2/8 w - - 10 73,-728
6k1/6p1/8/8/8/1K6/5q2/8 b - - 11 73,843
6k1/6p1/8/8/8/1K6/3q4/8 w - - 12 74,-832
6k1/6p1/8/8/8/K7/3q4/8 b - - 13 74,1166
6k1/6p1/8/8/8/K7/2q5/8 w - - 14 75,-1233
6k1/6p1/8/8/1K6/8/2q5/8 b - - 15 75,1223
6k1/6p1/8/8/1K6/3q4/8/8 w - - 16 76,-1108
6k1/6p1/8/8/K7/3q4/8/8 b - - 17 76,1263
6k1/6p1/8/8/K7/2q5/8/8 w - - 18 77,-1103
6k1/6p1/8/1K6/8/2q5/8/8 b - - 19 77,1168
6k1/6p1/8/K7/8/1q6/8/8 b - - 21 78,9988
6k1/6p1/8/1K6/8/q7/8/8 b - - 23 79,1230
6k1/6p1/8/1K6/8/2q5/8/8 w - - 24 80,-1020
6k1/6p1/8/8/K7/2q5/8/8 b - - 25 80,9988
6k1/6p1/8/8/K7/8/1q6/8 w - - 26 81,-1168
6k1/6p1/8/K7/8/8/1q6/8 b - - 27 81,1192
6k1/6p1/8/K7/8/8/4q3/8 w - - 28 82,-9988
6k1/6p1/8/8/K7/8/4q3/8 b - - 29 82,9988
6k1/6p1/8/8/K7/3q4/8/8 w - - 30 83,-1068
6k1/6p1/8/8/1K6/3q4/8/8 b - - 31 83,9988
7k/6p1/8/8/1K6/3q4/8/8 w - - 32 84,-1278
7k/6p1/8/K7/8/3q4/8/8 b - - 33 84,1533
7k/6p1/8/K7/2q5/8/8/8 w - - 34 85,-9987
7k/6p1/1K6/8/2q5/8/8/8 b - - 35 85,9991
6k1/6p1/1K6/8/2q5/8/8/8 w - - 36 86,-9992
6k1/6p1/8/K7/2q5/8/8/8 b - - 37 86,9992
6k1/6p1/8/K7/4q3/8/8/8 w - - 38 87,-1220
6k1/6p1/8/1K6/4q3/8/8/8 b - - 39 87,1037
6k1/6p1/8/1K6/5q2/8/8/8 w - - 40 88,-1112
6k1/6p1/8/2K5/5q2/8/8/8 b - - 41 88,1516
6k1/6p1/8/2K5/6q1/8/8/8 w - - 42 89,-1551
6k1/6p1/8/1K6/6q1/8/8/8 b - - 43 89,1247
6k1/6p1/8/1K6/3q4/8/8/8 w - - 44 90,-1040
6k1/6p1/2K5/8/3q4/8/8/8 b - - 45 90,1341
6k1/6p1/2K5/8/8/3q4/8/8 w - - 46 91,-1221
6k1/6p1/8/2K5/8/3q4/8/8 b - - 47 91,9989
6k1/6p1/8/2K5/8/1q6/8/8 w - - 48 92,-802
6k1/6p1/8/8/3K4/1q6/8/8 b - - 49 92,1025
6k1/8/8/6p1/3K4/1q6/8/8 w - - 0 93,-1036
6k1/8/8/6p1/4K3/1q6/8/8 b - - 1 93,1463
6k1/8/8/8/4K1p1/1q6/8/8 w - - 0 94,-1182
6k1/8/8/4K3/6p1/1q6/8/8 b - - 1 94,1210
6k1/8/8/4K3/8/1q4p1/8/8 w - - 0 95,-1191
6k1/8/8/8/5K2/1q4p1/8/8 b - - 1 95,9992
6k1/8/8/8/5K2/1q6/6p1/8 w - - 0 96,-9993
6k1/8/8/8/4K3/1q6/6p1/8 b - - 1 96,9995
6k1/8/8/8/4K3/1q6/8/6q1 w - - 0 97,-9996
6k1/8/8/8/5K2/1q6/8/6q1 b - - 1 97,9998
6k1/8/8/5K2/8/4q3/8/6q1 b - - 3 98,9999
rnbqkbnr/ppp1p1pp/8/3p1p2/8/1P3NP1/P1PPPP1P/RNBQKB1R b KQkq - 1 3,-43
r1bqkbnr/ppp1p1pp/2n5/3p1p2/8/1P3NP1/P1PPPP1P/RNBQKB1R w KQkq - 2 4,58
r1bqkbnr/ppp1p1pp/2n5/3p1p2/3P4/1P3NP1/P1P1PP1P/RNBQKB1R b KQkq - 0 4,-56
r1bqkb1r/ppp1p1pp/2n2n2/3p1p2/3P4/1P3NP1/P1P1PP1P/RNBQKB1R w KQkq - 1 5,62
r1bqkb1r/ppp1p1pp/2n2n2/3p1p2/3P4/1P3NP1/P1P1PPBP/RNBQK2R b KQkq - 2 5,-54
