fen,cp
4r2r/4k3/b1p1p2p/4n2n/2RP2p1/1PP1pp2/3KB1P1/1N4R1 w - - 0 34,-597
4r2r/4kn2/b1p1p2p/7n/2RP2p1/1PP1Kp2/4B1P1/1N4R1 w - - 1 35,-506
4r2r/4kn2/b1p1p2p/7n/R2P2p1/1PP1K3/4p1P1/1N4R1 w - - 0 36,-460
4r2r/1b2kn2/2p1p2p/7n/R2P2p1/NPPK4/4p1P1/6R1 b - - 3 37,681
R3rk1r/1b3n2/2p1p2p/7n/3P2p1/NPPK4/4p1P1/6R1 b - - 5 38,802
b3rk1r/5n2/2p1p2p/7n/3P2p1/NPPK4/4p1P1/6R1 w - - 0 39,-803
b3rk1r/5n2/2p4p/4p2n/2PP2p1/NP6/2K1p1P1/6R1 b - - 0 40,895
b3k2r/5n2/2pr3p/1N2p2n/2PP2p1/1P6/2K3P1/4q1R1 w - - 4 44,-601
b3k2r/5n2/2p1r2p/1N2p2n/2PP2p1/1P6/2K3P1/4qR2 w - - 6 45,-676
b3k2r/5n2/2p1r2p/1NP1p2n/3P2p1/1P6/2K3P1/4qR2 b - - 0 45,1037
b4k1r/5n2/2p1r2p/1NP1p2n/3P2p1/1P6/2K3P1/4qR2 w - - 1 46,-886
b4k1r/5n2/2p1r2p/1NP1p2n/3P2p1/1P4P1/2K5/4qR2 b - - 0 46,1167
b4k1r/5n2/2p1r2p/1NP1p2n/1q1P2p1/1P4P1/2K5/3R4 b - - 2 47,1079
5k1r/1b3n2/2p3rp/1NP1p2n/1q1P2p1/1P4P1/2K5/2R5 w - - 5 49,-934
7r/1b3nk1/2p3rp/1NP1p2n/1q1P2p1/1P4P1/2K5/3R4 w - - 7 50,-978
7r/1b3nk1/2p3rp/1NP1p2n/1q1P2p1/1P4P1/2K5/R7 b - - 8 50,1153
7r/5nk1/b1p3rp/1NP4n/1q1Pp1p1/1P4P1/8/R2K4 w - - 2 52,-1080
6kr/5n2/b1p3rp/2P4n/1q1Pp1p1/1PN3P1/2K5/R7 b - - 5 53,1056
1q4kr/5n2/b1p3rp/2P4n/3Pp1p1/1PN3P1/2K5/R7 w - - 6 54,-824
1q4kr/5n2/b1p3rp/2P4n/3Pp1p1/1PN3P1/3K4/R7 b - - 7 54,1028
1q5r/5nk1/b1p3rp/2P4n/3Pp1p1/1PN3P1/3K4/R7 w - - 8 55,-951
1q5r/5nk1/b1p3rp/2P4n/3Pp1p1/1PN3P1/3K4/6R1 b - - 9 55,1118
2b4r/q4nk1/2p3rp/2P4n/3Pp1p1/1P4P1/3K4/1N4R1 w - - 12 57,-1048
2b4r/q4n1k/2p3rp/2P4n/3Pp1p1/1P4P1/3K4/1NR5 w - - 14 58,-1046
2b4r/2q2n1k/2p3rp/2P4n/2RPp1p1/1P4P1/3K4/1N6 w - - 16 59,-1079
2b4r/2q2nk1/2p3rp/2P4n/2RPp1p1/1P4P1/4K3/1N6 w - - 18 60,-1016
2b4r/2q2nk1/2p3rp/2P4n/R2Pp1p1/1P4P1/4K3/1N6 b - - 19 60,1066
r1bqkbnr/pp1ppppp/8/2p5/1n6/2N1PN2/PPPP1PPP/R1BQKB1R w KQkq - 1 4,103
r1b1kbnr/pp1ppppp/Bq6/2p5/1n6/2N1PN2/PPPP1PPP/R1BQK1R1 b Qkq - 4 5,457
1rb1kbnr/pp1ppppp/1q6/2p5/1nB5/2N1PN2/PPPP1PPP/R1BQK1R1 b Qk - 6 6,20
1rb1kbnr/pp1ppppp/8/q1p5/1nB5/2N1PN2/PPPP1PPP/R1BQK1R1 w Qk - 7 7,43
1rb1kbnr/pp1ppppp/8/q1p1N3/1nB5/2N1P3/PPPP1PPP/R1BQK1R1 b Qk - 8 7,9
1rb1kbnr/pp2pNpp/3p4/2p5/1n6/1BN1P3/PPPP1PPP/R1BQK1R1 b Qk - 0 10,-758
1rb1kbnr/pp3Npp/3pp3/2p5/1n6/1BN1P3/PPPP1PPP/R1BQK1R1 w Qk - 0 11,824
1rb1kbnr/pp3Npp/4p3/2pp4/1n1P4/1B2P3/PPP1NPPP/R1BQK1R1 b Qk - 1 12,-676
1rb2bnr/p3kNpp/1p2p3/2pp4/1n1P4/1B2P3/PPP1NPPP/R1BQK1R1 b Q - 1 14,-656
1rb2bnr/p3kNp1/1p2p2p/2pp4/1n1P4/1B2P3/PPP1NPPP/R1BQK1R1 w Q - 0 15,845
1rbN1bnr/p3k1p1/1p2p2p/2pp4/1n1P4/1B2P3/PPP1NPPP/R1BQK1R1 b Q - 1 15,-663
1rbN1bnr/p3k1p1/1p5p/2ppp3/1n1P4/1B2P3/PPP1NPPP/R1BQK1R1 w Q - 0 16,776
1rbN1bnr/p3k1p1/1p5p/2ppp3/3P4/1B2P2P/nPP1NPP1/R1BQK1R1 w Q - 0 17,892
1rbN1bnr/p5p1/5k1p/1pppp3/3P4/4P2P/BPPQNPP1/R1B1K1R1 w Q - 2 19,969
1rb2bn1/pN4pr/5k1p/1pppp3/3P2P1/4P2P/BPPQNP2/R1B1K1R1 b Q - 2 20,-895
1rbN1bn1/6pr/p4k1p/1pppp3/3P2P1/4P2P/BPPQNP2/R1B1K1R1 b Q - 1 21,-984
1r1N1bn1/6pr/p4k1p/1pppp3/3P2b1/4P2P/BPPQNP2/R1B1KR2 b Q - 1 22,-849
1r1N1bn1/4k1pr/p6p/1pppp3/3P2b1/4P2P/BPPQNP2/R1B1KR2 w Q - 2 23,944
1r1N1bn1/4k1pr/p6p/1pppp3/3P3P/4Pb2/BPPQNP2/R1B1KR2 w Q - 1 24,819
1r1N1bn1/4k1pr/p6p/1pppp3/3P3P/2Q1Pb2/BPP1NP2/R1B1KR2 b Q - 2 24,-716
1r1N1bn1/4k1pr/p6p/1ppp3P/3N4/4P3/BPPQ1P2/R1B1KR1b w Q - 1 28,958
1r3bn1/4k1pr/p1N4p/1ppp3P/3N4/4P3/BPPQ1P2/R1B1KR1b b Q - 2 28,-906
1r3bn1/6pr/p1N2k1p/1ppp3P/3N4/4P3/BPPQ1P2/R1B1KR1b w Q - 3 29,1018
1r3bn1/6pr/p1N1k2p/1ppp3P/8/1N2P3/BPPQKP2/R1B2R1b b - - 6 30,-810
3r1bn1/6pr/p1N1k2p/1ppp3P/8/1NQ1P3/BPP1KP2/R1B2R1b b - - 8 31,-903
3r1bn1/6Qr/p1N1k1pp/1ppp3P/8/1N2P3/BPP1KP2/R1B2R1b b - - 1 32,-711
3r1bn1/6r1/p1N1k1pp/1ppp3P/8/1N2P3/BPP1KP2/R1B2R1b w - - 0 33,725
3r1bn1/4k1r1/p5pp/1pNpN2P/8/3KPP2/BPP5/R1B2R1b b - - 0 36,-500
2rk1bn1/6r1/p5pp/1pNpN2P/2B5/3KPP2/1PP5/R1B3Rb b - - 4 38,180
1r3bn1/4k3/p6p/1pNpN2P/2B3r1/3KPP2/RPP3R1/2B4b b - - 4 41,317
4rbn1/4k3/p6p/1pNpN2P/2B3r1/3KPP2/RPP3R1/2B4b w - - 5 42,638
4rbn1/4k3/p6p/1pNpN2P/2B3r1/3KPP2/1PP3R1/R1B4b b - - 6 42,241
4rbn1/4k1r1/p6p/1pNpN2P/2B5/3KPP2/1PP3R1/R1B4b w - - 7 43,461
r4bn1/4k1r1/p6p/2Np3P/2p3N1/3KPP2/1PP4R/R1B4b w - - 0 45,299
r4bn1/4k1r1/p6p/2Np3P/2p3N1/4PP2/1PP1K2R/R1B4b b - - 1 45,-318
2r2bn1/4k1r1/p6p/2Np3P/2p3N1/4PP2/1PP1K2R/R1B4b w - - 2 46,359
