fen,cp
r1bk4/ppb2n2/3pPr2/6pp/R1n2P2/P2PK2P/2PN4/2B3R1 w - - 1 28,-486
r1bk4/ppb2n2/3pP3/3K2pp/R1n2r2/P2P3P/2PN4/2B3R1 b - - 1 29,9999
r1bk4/ppb2n2/3pP3/3K1rpp/R1n5/P2P3P/2PN4/2B3R1 w - - 2 30,-528
r1bk4/ppb2n2/3pP3/5rpp/R1K5/P2P3P/2PN4/2B3R1 b - - 0 30,507
r1bk4/ppb2n2/3pP3/6pp/R1KP4/P6P/2PN4/2B2rR1 b - - 0 31,639
r1bk4/ppb2n2/3pP3/6pp/R1KP4/P5RP/2PN4/2B2r2 w - - 3 33,-24
r1bk4/ppb2n2/3pP3/6pp/R1KP3P/P5R1/2PN4/2B2r2 b - - 0 33,463
1rbk4/ppb2n2/3pPr2/6pp/R1KP3P/P3BNR1/2P5/8 w - - 5 36,-89
1rbk4/ppb2n2/3pPr2/6pp/R1KP3P/P3B1R1/2P4N/8 b - - 6 36,456
1rbk4/ppb5/3pPr2/4n1pp/R1KP3P/P3B1R1/2P4N/8 w - - 7 37,-170
1rbk4/ppb5/2npPr2/6pp/RK1P3P/P3B1R1/2P4N/8 w - - 9 38,-461
1rbk4/ppb5/2n1Pr2/3p2pp/R1KP3P/P3B1R1/2P4N/8 w - - 0 39,-571
1rbk4/pp6/1bn1Pr2/3p3p/R2P2pP/P1K1B3/2P2R1N/8 b - - 3 41,564
1rbk4/pp3r2/1bn1P3/3p3p/R2P2pP/P1K1B3/2P2R1N/8 w - - 4 42,634
1rbk4/pp3R2/1bn1P3/3p3p/R2P2pP/P1K1B3/2P4N/8 b - - 0 42,-25
1rbk4/pp3R2/1b2P3/3p3p/3R2pP/P1K1B3/2P4N/8 b - - 0 43,-450
1r1k4/pp1b1R2/1b2P3/3p3p/3R2pP/P1K1B3/2P4N/8 w - - 1 44,846
1r1k4/pR6/1b2P3/1b1p3p/3R2pP/P1K1BN2/2P5/8 b - - 0 45,153
2k5/pr3R2/4P3/2bp3p/b5pP/P1KR1N2/2P2B2/8 w - - 11 51,669
2k5/pr3R2/4P3/2bp3p/b5pP/P1KR1N2/2P5/4B3 b - - 12 51,-431
2k5/pr3R2/2b1P3/3pN2p/6pP/P1KR4/2P5/4B1b1 w - - 15 53,783
2k1bR2/pr6/4P3/3pN2p/6pP/P1KR4/2P5/4B1b1 w - - 17 54,887
2k1bR2/pr6/1b2P3/3p3p/6pP/P1K1RN2/2P5/4B3 b - - 20 55,-423
2k1b2R/pr6/1b2P3/3p3p/7P/PK2R3/2P2p2/4B3 b - - 1 57,518
2k1b2R/pr6/1b2P3/3p3p/7P/PKR5/2P5/4b3 b - - 1 58,513
1k2b2R/p2r4/1b2P3/3p3p/1K5P/P1R5/2P5/4b3 w - - 4 60,619
rnbqkbnr/1pppppp1/8/7p/pP4P1/2N5/P1PPPP1P/R1BQKBNR w KQkq - 0 4,-16
rnbqkbnr/1pppppp1/8/7p/pP4P1/2N5/PBPPPP1P/R2QKBNR b KQkq - 1 4,222
rnbqkbnr/2ppppp1/8/1p5p/pP4P1/2N5/PBPPPP1P/RQ2KBNR b KQkq - 1 5,227
rnbqkbnr/2p1ppp1/8/1p1p3p/pP4P1/2N5/PBPPPP1P/RQ2KBNR w KQkq - 0 6,-111
rnbqkbnr/2p1ppp1/8/1p1p3p/pP2P1P1/2N5/PBPP1P1P/RQ2KBNR b KQkq - 0 6,162
r1bqkbnr/2p1ppp1/n7/1p1p3p/pP2P1P1/2N5/PBPP1P1P/RQ2KBNR w KQkq - 1 7,87
r3kbnr/2pqppp1/n7/1p1p1P1p/pP2P3/2N5/P1PP1P1P/RQB1KBNR w KQkq - 1 9,512
r3kbnr/2pqppp1/n7/1p1p1P1p/pP2P3/2N4N/P1PP1P1P/RQB1KB1R b KQkq - 2 9,-454
r3kbnr/2pq1pp1/n7/1p1ppP1p/pP2PN2/2N5/P1PP1P1P/RQB1KB1R b KQkq - 1 10,-176
r3kb1r/2pq1pp1/n4n2/1p1ppP1p/pP2PN2/2N5/P1PP1P1P/RQB1KB1R w KQkq - 2 11,437
r3kb1r/2pq1pp1/n4n2/1B1ppP1p/pP2PN2/2N5/P1PP1P1P/RQB1K2R b KQkq - 0 11,-280
r3kb2/2pq1ppr/n4n2/1B1p1P1p/pP2Pp2/8/P1PP1P1P/RQBNK2R w KQq - 2 13,597
r3kb2/2pq1ppr/n4n2/1B1p1P1p/pP2Pp2/B7/P1PP1P1P/RQ1NK2R b KQq - 3 13,336
rn2k2r/2pq1pp1/3b1n2/1B1p1P1p/pP2Pp2/BQ6/P1PP1P1P/2RNK2R b Kq - 9 16,545
1n2kr2/r1pq1pp1/3b1n2/1B1p1P1p/pP2Pp2/B7/P1PP1P1P/1QRNK1R1 b - - 13 18,225
1n2kr2/r1p2pp1/3b1n2/1q1p1P1p/pP2Pp2/B7/P1PP1P1P/1QRNK1R1 w - - 0 19,-270
4k2r/r1pn1pp1/3b1n2/1q1p1P1p/pP2Pp2/B6P/PNPP1P2/1QR1K1R1 w - - 1 21,-241
5k1r/r1pn1pp1/3b1n2/1q1p1P1p/pPP1Pp2/B6P/PN1P1P2/1QR1K1R1 w - - 1 22,424
5k1r/2pn1pp1/r2b1n2/1q1p1P1p/pPP1Pp1P/B2P4/PN3P2/1QR1K1R1 b - - 0 23,337
r3nk1r/2pn1pp1/3b4/1q1p1P1p/pPP1Pp1P/B2P1P2/PNQ5/2R1K1R1 b - - 2 25,207
r3nk1r/2pn1pp1/3b4/2qp1P1p/pPP1Pp1P/B2P1P2/PNQ5/2R1K1R1 w - - 3 26,575
r3nk1r/2pn1pp1/1q1b4/3p1P1p/pPP1Pp1P/B2P1P2/PN4Q1/R3K1R1 b - - 6 27,504
r3nk1r/2pn1pp1/2qb4/3p1P1p/pPP1Pp1P/B2P1P2/PN4Q1/1R2K1R1 b - - 8 28,346
r4k1r/2pn1p2/2q2np1/3p1P1p/pbP1Pp1P/B2P1PQ1/PN6/1R1K2R1 w - - 2 31,168
5k1r/2pn1p2/2q2np1/r2p1PQp/pbP1Pp1P/B2P1P2/PN6/1R1K2R1 w - - 4 32,290
5k1r/2pn1p2/2q2np1/r2p1PQp/pbP1Pp1P/B2P1P2/PNK5/1R4R1 b - - 5 32,309
5k1r/2p2p2/1nq2np1/r2p1PQp/pbP1Pp1P/B2P1P2/PNK5/1R4R1 w - - 6 33,376
5k1r/2p2p2/1nq2np1/r2p1PQp/pbP1PpRP/B2P1P2/PNK5/1R6 b - - 7 33,308
5k1r/2p2p2/1n3np1/r1qp1PQp/pbP1PpRP/B2P1P2/PNK5/1R6 w - - 8 34,214
4k2r/2p2p2/1n3np1/r2pPPQp/pbq2pRP/B2P1P2/PNK5/4R3 w - - 0 36,484
4k2r/2p2p2/1n3np1/r2pPPQp/pbP2pRP/B4P2/PNK5/4R3 b - - 0 36,-468
4k3/2p2p1r/1n3np1/r2pPPQp/pbP2pRP/B4P2/PNK5/4R3 w - - 1 37,716
4k3/2p2p1r/1n3np1/r2pPPQp/pbP2pRP/B4P2/PNK5/2R5 b - - 2 37,-482
4k3/2p2p1r/1n3np1/r1bpPPQp/p1P2pRP/B4P2/PNK5/2R5 w - - 3 38,624
4k3/2p2p1r/1n3np1/r1bpPPQp/p1P2pRP/B4P2/PNK5/3R4 b - - 4 38,-389
8/2p1kp1r/1n3np1/r1bpPPQp/p1P2pRP/B4P2/PNK5/3R4 w - - 5 39,627
8/2p1kp1r/1n3nQ1/r1bpPP1p/p1P2pRP/B4P2/PNK5/3R4 b - - 0 39,-65
8/2p1kpr1/1n3nQ1/r1bpPP1p/p1P2pRP/B4P2/PNK5/3R4 w - - 1 40,839
8/2p1kpr1/1n3nQ1/r1bpPP1p/p1P2p1P/B4P2/PNK3R1/3R4 b - - 2 40,98
n7/2p1kpr1/5nQ1/r1bpPP1p/p1P2p1P/B2R1P2/PNK3R1/8 b - - 4 41,-326
n5r1/2p1kp1n/6Q1/r1bPPP1p/p4p1P/B2R1P2/PNK3R1/8 w - - 1 43,935
n5r1/2p1kp1n/6Q1/r1bPPP1p/p4p1P/B4P2/PNKR2R1/8 b - - 2 43,-260
n5r1/4kp1n/6Q1/r2PPP1p/pp3p1P/5P2/PNKR1R2/8 w - - 0 46,917
n2k2r1/5p1n/4Q3/r2PPP1p/pp3p1P/5P2/PNKR1R2/8 w - - 2 47,701
n2k2r1/5p1n/2Q5/r2PPP1p/pp3p1P/5P2/PNKR1R2/8 b - - 3 47,-610
n2k4/5p1n/2Q5/r2PPP1p/pp3p1P/5Pr1/PNKR1R2/8 w - - 4 48,728
n2k4/5p2/2Q5/r2PPPnp/ppN2p1P/5Pr1/P2R1R2/2K5 b - - 7 49,-638
n2k4/5p2/2Q5/r2PPPnp/ppN2prP/5P2/P2R1R2/2K5 w - - 8 50,898
n7/3k1p2/5Q2/r2PPPnp/ppN2prP/5P2/P2R1R2/2K5 w - - 10 51,875
n7/3k1p2/3Q4/r2PPPnp/ppN2prP/5P2/P2R1R2/2K5 b - - 11 51,-899
n3k3/5p2/3Q4/r2PPPnp/ppN2prP/5P2/P2R1R2/2K5 w - - 12 52,989
n4k2/5p2/8/r2PPPnp/ppN2prP/5P2/P2R1R2/2K5 w - - 0 53,376
n4k2/5p2/8/r2PPP1p/ppN1nprP/5P2/P2R3R/2K5 w - - 2 54,235
n4k2/5p2/8/r2PPP1p/ppN1nprP/5P2/P2RR3/2K5 b - - 3 54,308
n4k2/5p2/5n2/r2PPP1p/1pN2prP/p4P2/P2RR3/3K4 w - - 0 56,392
n4k2/5pr1/5n2/r2PPP1p/1pN2p1P/p4P2/PR2R3/3K4 w - - 2 57,-2
n4k2/5pr1/5n2/r2PPP1p/1pN2p1P/p4P2/P3R3/1R1K4 b - - 3 57,224
n4k2/5pr1/4Pn2/2rP1P1p/1pN2p1P/p4P2/P3R3/1R1K4 b - - 0 58,523
5k2/2n2pr1/4Pn2/2rP1P1p/1pN2p1P/p4P2/P3R3/1R1K4 w - - 1 59,-237
5k2/2n2pr1/3PPn2/2r2P1p/1pN2p1P/p4P2/P3R3/1R1K4 b - - 0 59,384
5kr1/2n2p2/3PPn2/2r2P1p/1pN2p1P/p4P2/P3R3/1R1K4 w - - 1 60,7
r1bqkbnr/p2ppppp/1p6/n1p5/2P3P1/3BPP2/PP1P3P/RNBQK1NR b KQkq - 2 5,124
r1bqkbnr/p3pppp/1p6/n1pp4/2P3P1/3BPP2/PP1P3P/RNBQK1NR w KQkq - 0 6,18
r1b1kbnr/p2qpppp/1p6/n1pp4/2P3P1/2NBPP1P/PP1P4/R1BQK1NR b KQkq - 0 7,176
r1b1kbnr/p2qpppp/1p6/2pp4/2P3P1/1nNBPP1P/PP1P4/R1BQK1NR w KQkq - 1 8,365
r1b1kbnr/p3pppp/1p6/2pp2P1/q1P5/1nN1PP1P/PP1P4/R1BQKBNR b KQkq - 2 9,-351
r3kbnr/p3pppp/1p2b3/2pp2P1/q1P5/1nN1PP1P/PP1P4/R1BQKBNR w KQkq - 3 10,479
r3kbnr/p3pppp/1p2b3/2pp2P1/q1Pn4/2NBPP1P/PP1P4/R1BQK1NR w KQkq - 5 11,713
r3kbnr/p3pppp/1p6/2pp2P1/q1Pn2b1/1PNBPP1P/P2P4/R1BQK1NR w KQkq - 1 12,729
r3kbnr/p3pppp/1p6/1Npp2P1/q1Pn2b1/1P1BPP1P/P2P4/R1BQK1NR b KQkq - 2 12,-544
3rkbnr/p3pppp/1p6/1Npp2P1/q1Pn2b1/1P1BPP1P/P2P4/R1BQK1NR w KQk - 3 13,726
3rkbnr/p3pppp/1p6/1Npp2P1/q1P3b1/1nNBPP1P/P2P4/R1BQK2R b KQk - 1 14,-471
3rkbnr/4pppp/pp6/1Npp2P1/q1P3b1/1nNBPP1P/P2P4/R1BQK2R w KQk - 0 15,667
3rkbnr/4pppp/pp6/1Npp2P1/q1P3b1/1PNBPP1P/3P4/R1BQK2R b KQk - 0 15,-232
3rkbnr/4pppp/pp6/1Npp2P1/1qP3b1/1PNBPP1P/3P4/R1BQK2R w KQk - 1 16,787
3rkbnr/4pppp/pp1N4/2pp2P1/1qP3b1/1PNBPP1P/3P4/R1BQK2R b KQk - 2 16,-592
3r1bnr/3kpppp/pp1N4/2pp2P1/1qP3b1/1PNBPP1P/3P4/R1BQK2R w KQ - 3 17,716
3r1bnr/3kpppp/pp1N4/2pp2P1/1qP3b1/RPNBPP1P/3P4/2BQK2R b K - 4 17,-580
3r1bnr/3kpppp/pp1N4/2pp2P1/2P3b1/1PqBPP1P/3P4/R1BQK2R b K - 1 18,141
r4bnr/3kpppp/pp1N4/2pp2P1/2P3b1/1PqBPP1P/3P4/R1BQK2R w K - 2 19,767
r4bnr/3kpppp/pp1N4/2ppq1P1/1PP3b1/3BPP1P/3P4/R1BQK2R w K - 1 20,265
r4bnr/3kpppB/pp1N2P1/2pp4/1PP3b1/4PP1P/1q1P4/2BQK2R w K - 1 22,613
r4bnr/3kpppB/pp1N2P1/2pp1b2/1PP5/1Q2PP1P/1q1P3R/2B1K3 b - - 4 23,648
r4bnr/3kpppB/1p1N2P1/p1pp1b2/1PP5/2Q1PP1P/3q3R/2B1K3 w - - 0 25,467
r4bnr/4pppB/1pkN2P1/pPpp1b2/2P5/2Q1PP1P/3K3R/2B5 b - - 0 26,-306
r4bnr/2k1pppB/1p1N2P1/pPpp1b2/2P5/4PP1P/1Q1K3R/2B5 b - - 2 27,-89
1r3bnr/2k1pppB/1p1N2P1/pPpp1b2/2P5/4PP1P/1Q1K3R/2B5 w - - 3 28,643
1rN2bnr/2k1pppB/1p4P1/pPpp4/2P3b1/4PP1P/1Q1K3R/2B5 w - - 5 29,572
1rN2bnr/2k1pppB/1p4P1/pPp5/2p3b1/4PP1P/1QK4R/2B5 w - - 0 30,572
1rN2bnr/2k1pppB/1p3QP1/pPp5/2p3b1/4PP1P/2K4R/2B5 b - - 1 30,398
1rN2b1r/2k1pppB/1p3nP1/pPp4b/2p5/4PP1P/7R/2BK4 w - - 2 32,-612
1r3b1r/N1knpppB/1p4P1/pPp4b/2p5/4PP1P/1B5R/3K4 b - - 5 33,634
1r3b1r/Nk1npppB/1p4P1/pPp4b/2p5/4PP1P/1B5R/3K4 w - - 6 34,-529
1r3b1r/Nk1npppB/1p4P1/pPp4b/2p5/4PP1P/1B2R3/3K4 b - - 7 34,681
r4b1r/Nk1npppB/1p4P1/pPp4b/2p2P2/4P2P/1B2R3/3K4 b - - 0 35,722
r4b1r/Nk1npppB/1p4P1/pPp5/2p2P2/4P2P/1B2b3/3K4 w - - 0 36,-723
4rb1r/Nk1npppB/1p4P1/pPp5/2p2P2/4P2P/1B2K3/8 w - - 1 37,-448
4rbBr/Nk1nppp1/1p4P1/pPp5/2p2P2/4P2P/1B2K3/8 b - - 2 37,531
2r2bBr/Nk1nppp1/1p4P1/pPp5/2p2P2/B3P2P/4K3/8 b - - 4 38,620
2r2b1r/Nk1np1p1/1p2BpP1/pPp5/2p2P2/B3P2P/4K3/8 b - - 1 39,559
2r2b2/Nk1np1p1/1p2BpPr/pPp5/2p2P2/B3P2P/4K3/8 w - - 2 40,-362
2r2b2/Nk1np1p1/1p3pP1/pPp5/2p1PP2/B6B/4K3/8 b - - 0 41,320
1nr2b2/Nk2p1p1/1p2BpP1/1Pp5/p1p1PP2/B7/4K3/8 w - - 2 43,436
